id,region
1,Baltic Sea EwE
2,Baltic Sea Mizer
3,Brazil NE
4,Central North Pacific
5,Central South Pacific
6,Chatham Rise
7,Cook Strait
8,East Antarctica Atlantis
9,East Antarctica EwE
10,East Bass Strait
11,East Bering Sea Mizer
12,East Bering Sea Rpath
13,East Scotian Shelf
14,Gulf Alaska
15,Hawai'i based Longline
16,Kerguelen EwE
17,Kerguelen Mizer
18,Main Hawaiian Islands
19,Mediterranean Sea EwE
20,Mediterranean Sea OSMOSE
21,Nordic and Barents Seas
22,North Humboldt
23,North Sea EwE Mizer
24,North Sea OSMOSE
25,Northern California Current
26,Northern Gulf of Alaska
27,NorthWestern Mediterranean Sea
28,Prydz Bay
29,Puget Sound Atlantis
30,Ross Sea MBTM
31,SE Australia Atlantis
32,SE Australia Mizer
33,Southern Benguela
34,Southern Ocean
35,Tasman and Golden Bays
36,Western Mediterranean Sea
